pair,variant,tf,entry_date,exit_date,side,entry_price,sl,exit_reason,pnl,r_multiple
ATOM,ST-V2,5m,2026-05-15 13:30:00+00:00,2026-05-15 23:20:00+00:00,short,1.984,2.0146,tp2,0.049,1.6
ATOM,ST-V2,5m,2026-05-16 01:25:00+00:00,2026-05-16 03:00:00+00:00,short,1.926,1.9376,sl,-0.0116,-1.0
ATOM,ST-V2,5m,2026-05-16 04:15:00+00:00,2026-05-16 04:30:00+00:00,long,1.936,1.9252,sl,-0.0108,-1.0
ATOM,ST-V2,5m,2026-05-16 05:45:00+00:00,2026-05-16 07:10:00+00:00,long,1.941,1.9259,sl,-0.0151,-1.0
ATOM,ST-V2,5m,2026-05-16 23:15:00+00:00,2026-05-17 01:20:00+00:00,long,2.045,2.0281,sl,-0.0169,-1.0
ATOM,ST-V2,5m,2026-05-17 02:55:00+00:00,2026-05-17 03:35:00+00:00,short,2.016,2.0444,sl,-0.0284,-1.0
ATOM,ST-V2,5m,2026-05-17 11:45:00+00:00,2026-05-17 12:10:00+00:00,long,2.088,2.0698,sl,-0.0182,-1.0
ATOM,ST-V2,5m,2026-05-17 23:05:00+00:00,2026-05-17 23:40:00+00:00,short,2.044,2.0686,tp2,0.0491,2.0
ATOM,ST-V2,5m,2026-05-18 08:20:00+00:00,2026-05-18 08:35:00+00:00,long,2.062,2.0473,sl,-0.0147,-1.0
ATOM,ST-V2,5m,2026-05-18 11:20:00+00:00,2026-05-18 17:45:00+00:00,short,2.019,2.0473,sl,0.0028,0.1
ARB,ST-V2,5m,2026-05-16 00:50:00+00:00,2026-05-16 04:30:00+00:00,short,0.1247,0.1252,tp2,0.0008,1.6
ARB,ST-V2,5m,2026-05-16 13:50:00+00:00,2026-05-16 14:30:00+00:00,short,0.1189,0.1196,sl,-0.0007,-1.0
ARB,ST-V2,5m,2026-05-17 05:45:00+00:00,2026-05-17 13:15:00+00:00,long,0.121,0.1195,sl,-0.0015,-1.0
ARB,ST-V2,5m,2026-05-17 15:35:00+00:00,2026-05-17 23:40:00+00:00,short,0.119,0.1204,tp2,0.0023,1.6
ARB,ST-V2,5m,2026-05-18 00:05:00+00:00,2026-05-19 00:20:00+00:00,short,0.1153,0.1186,sl,-0.0033,-1.0
APT,ST-V2,5m,2026-05-15 14:25:00+00:00,2026-05-17 17:00:00+00:00,short,0.9817,1.0065,tp2,0.0397,1.6
APT,ST-V2,5m,2026-05-18 09:00:00+00:00,2026-05-18 10:20:00+00:00,short,0.9229,0.9268,tp2,0.0062,1.6
APT,ST-V2,5m,2026-05-18 13:05:00+00:00,2026-05-18 13:35:00+00:00,long,0.9338,0.9252,sl,-0.0086,-1.0
APT,ST-V2,5m,2026-05-18 16:55:00+00:00,2026-05-18 17:30:00+00:00,short,0.9198,0.9277,sl,-0.0079,-1.0
1000PEPE,ST-V2,5m,2026-05-12 18:55:00+00:00,2026-05-12 19:10:00+00:00,short,0.0041,0.0041,sl,-0.0,-1.0
1000PEPE,ST-V2,5m,2026-05-13 02:20:00+00:00,2026-05-13 12:20:00+00:00,long,0.0042,0.0041,sl,0.0,0.1
1000PEPE,ST-V2,5m,2026-05-14 01:55:00+00:00,2026-05-14 02:50:00+00:00,long,0.0041,0.0041,sl,-0.0,-1.0
1000PEPE,ST-V2,5m,2026-05-14 14:00:00+00:00,2026-05-14 16:55:00+00:00,long,0.0041,0.004,tp2,0.0001,1.6
